Chapter,Type,Type#,Formula#,Path,latex
19,19.3,Theorem,1,real_and_complex/19.3 Theorem_19_1.jpg,$|f(z)| \leq C e^{A|z|}$
13,13.6,Theorem,4,real_and_complex/13.6 Theorem_13_4.jpg,$h(z)=\int_{K} \frac{d \mu(\zeta)}{\zeta-z} \quad\left(z \in S^{2}-K\right)$
17,17.21,Beurling’s,2,real_and_complex/17.21 Beurling’s Theorem_17_2.jpg,$\|f\|_{2}=\left\{\frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|f^{*}\left(e^{i \theta}\right)\right|^{2} d \theta\right\}^{1 / 2}$.
8,8.6,Theorem,4,real_and_complex/8.6 Theorem_8_4.jpg,"$\int_{X} d \mu(x) \int_{Y} \chi_{Q}(x, y) d \lambda(y)=\int_{Y} d \lambda(y) \int_{X} \chi_{Q}(x, y) d \mu(x)$."
18,18.18,Theorem,1,real_and_complex/18.18 Theorem_18_1.jpg,$\left|f_{1}(z)\right|+\cdots+\left|f_{n}(z)\right|>0$
16,16.19,Theorem,9,real_and_complex/16.19 Theorem_16_9.jpg,"$|2 z-4 n+1| \geq 1, \quad|2 z-4 n-1| \geq 1 \quad(n=0, \pm 1, \pm 2, \ldots)$"
1,1.13,Definition,6,real_and_complex/1.13 Definition_1_6.jpg,$\left(\sup _{n} f_{n}\right)(x)=\sup _{n}\left(f_{n}(x)\right)$
15,15.10,Theorem,2,real_and_complex/15.10 Theorem_15_2.jpg,"$P_{\alpha}(z)=\sum_{j=1}^{1+m(\alpha)} c_{j, \alpha}(z-\alpha)^{-j}$"
14,14.1,Definition,5,real_and_complex/14.1 Definition_14_5.jpg,$\varphi(z)=\frac{(b-c)(z-a)}{(b-a)(z-c)}$
20,20.5,Theorem,7,real_and_complex/20.5 Theorem_20_7.jpg,$A(z)=a(|z|)$
5,3.10,Theorem,7,real_and_complex/3.10 Theorem_5_7.jpg,$\left\|\Lambda_{n}\right\| \rightarrow \infty \quad$ as $n \rightarrow \infty$
11,11.14,Theorem,5,real_and_complex/11.14 Theorem_11_5.jpg,$f_{t}(z)=f_{s}(z) \quad\left(z \in D_{t} \cap D_{s}\right)$.
16,16.6,Theorem,2,real_and_complex/16.6 Theorem_16_2.jpg,$f(z)=\sum_{k=1}^{\infty} c_{k} z^{p_{k}}$
12,12.4,Theorem,2,real_and_complex/12.4 Theorem_12_2.jpg,$\varphi_{-\alpha}\left(\varphi_{\alpha}(z)\right)=z$
12,12.4,Theorem,3,real_and_complex/12.4 Theorem_12_3.jpg,$\left|\frac{e^{i t}-\alpha}{1-\bar{\alpha} e^{i t}}\right|=\frac{\left|e^{i t}-\alpha\right|}{\left|e^{-i t}-\bar{\alpha}\right|}=1$
13,13.10,Theorem,1,real_and_complex/13.10 Theorem_13_1.jpg,"$Q_{n}(z)=\sum_{\alpha \in A_{n}} P_{\alpha}(z) \quad(n=1,2,3, \ldots)$"
16,16.6,Theorem,3,real_and_complex/16.6 Theorem_16_3.jpg,"$f^{(k)}(z)=\sum_{n=k}^{\infty} n(n-1) \cdots(n-k+1) a_{n} \eta_{n} z^{n-k}$,"
5,3.10,Theorem,6,real_and_complex/3.10 Theorem_5_6.jpg,$\left\|\Lambda_{n}\right\| \leq \frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|D_{n}(t)\right| d t=\left\|D_{n}\right\|_{1}$.
11,11.14,Theorem,4,real_and_complex/11.14 Theorem_11_4.jpg,$f_{t}(\bar{z})=\overline{f_{t}(z)} \quad\left(z \in D_{t}\right)$
14,14.1,Definition,4,real_and_complex/14.1 Definition_14_4.jpg,$\lim _{r \rightarrow 0} e^{-i \theta} A\left[f\left(r e^{i \theta}\right)\right]=\frac{\alpha+\beta e^{-2 i \theta}}{\left|\alpha+\beta e^{-2 i \theta}\right|}$
20,20.5,Theorem,6,real_and_complex/20.5 Theorem_20_6.jpg,$a(r)=\frac{3}{\pi \delta^{2}}\left(1-\frac{r^{2}}{\delta^{2}}\right)^{2} \quad(0 \leq r \leq \delta)$
4,4.25,Theorem,8,real_and_complex/4.25 Theorem_4_8.jpg,$\left\|f-s_{N}\right\|_{2}^{2}=\sum_{|n|>N}|\hat{f}(n)|^{2}$.
12,12.10,Lindelof’s,1,real_and_complex/12.10 Lindelof’s Theorem_12_1.jpg,$\lim _{t \rightarrow 1} g(\Gamma(t))=L$
10,10.7,Theorem,1,real_and_complex/10.7 Theorem_10_1.jpg,$f(z)=\int_{X} \frac{d \mu(\zeta)}{\varphi(\zeta)-z} \quad(z \in \Omega)$
15,15.10,Theorem,3,real_and_complex/15.10 Theorem_15_3.jpg,"$g(z) P_{\alpha}(z)=w_{0, \alpha}+w_{1, \alpha}(z-\alpha)+\cdots+w_{m(\alpha), \alpha}(z-\alpha)^{m(\alpha)}+\cdots$"
13,13.9,Theorem,2,real_and_complex/13.9 Theorem_13_2.jpg,"$\left|R_{n}(z)-f(z)\right|<\frac{1}{n} \quad(z \in K, n \geq N)$"
1,1.13,Definition,7,real_and_complex/1.13 Definition_1_7.jpg,
8,8.6,Theorem,5,real_and_complex/8.6 Theorem_8_5.jpg,$\lambda\left(Q_{x}\right)=\lambda(B) \chi_{A}(x)$ and $\mu\left(Q^{y}\right)=\mu(A) \chi_{B}(y)$
16,14.19,(and,2,real_and_complex/14.19 (and Remark_16_2.jpg,$h(-x+i y)=\overline{h(x+i y)}$
7,7.2,Definition,4,real_and_complex/7.2 Definition_7_4.jpg,$(M \mu)(x)=\sup _{0<r<\infty}\left(Q_{r} \mu\right)(x)$
5,5.8,The,3,real_and_complex/5.8 The Banach-Steinhaus Theorem_5_3.jpg,$\varphi(x)=\sup _{\alpha \in A}\left\|\Lambda_{\alpha} x\right\| \quad(x \in X)$
10,10.33,Theorem,8,real_and_complex/10.33 Theorem_10_8.jpg,$\operatorname{Ind}_{\Gamma}(\alpha)=\sum_{i=1}^{n} \operatorname{Ind}_{\gamma_{i}}(\alpha)$
2,2.13,Theorem,3,real_and_complex/2.13 Theorem_2_3.jpg,$h_{1}+h_{2}+\cdots+h_{n}=1-\left(1-g_{1}\right)\left(1-g_{2}\right) \cdots\left(1-g_{n}\right)$
16,16.4,Remark,2,real_and_complex/16.4 Remark_16_2.jpg,$f\left(z^{2}\right)=f(z)-z$
16,16.11,Theorem,1,real_and_complex/16.11 Theorem_16_1.jpg,"$\gamma\left(\left[s_{i}, s_{i+1}\right]\right) \subset A_{i}, \quad \gamma\left(\left[\sigma_{j}, \sigma_{j+1}\right]\right) \subset B_{j} \quad(0 \leq i \leq m, 0 \leq j \leq n)$."
16,16.16,Remark,2,real_and_complex/16.16 Remark_16_2.jpg,$g_{\beta}(z)=\int_{\Gamma_{z}}(\zeta-w)^{-1} d \zeta+f(\alpha) \quad\left(z \in D_{\beta}\right)$
10,10.35,Cauchy’s,9,real_and_complex/10.35 Cauchy’s Theorem_10_9.jpg,"$\int_{\partial \Delta} h(z) d z=\frac{1}{2 \pi i} \int_{\Gamma}\left(\int_{\partial \Delta} g(z, w) d z\right) d w$."
1,1.34,Lebesgue’s,5,real_and_complex/1.34 Lebesgue’s Dominated Convergence Theorem_1_5.jpg,$\limsup _{n \rightarrow \infty} \int_{X}\left|f_{n}-f\right| d \mu \leq 0$
7,7.4,Theorem,8,real_and_complex/7.4 Theorem_7_8.jpg,"$\{T f>2 y\} \subset \bigcap_{n=1}^{\infty} E(y, n)$."
18,18.5,Theorem,2,real_and_complex/18.5 Theorem_18_2.jpg,$\left\|(x-\mu e)^{-1}-(x-\lambda e)^{-1}+(\lambda-\mu)(x-\lambda e)^{-2}\right\| \leq C|\mu-\lambda|^{2}$
18,18.13,Theorem,3,real_and_complex/18.13 Theorem_18_3.jpg,"$\varphi(x)+\varphi(y)=\varphi\left(x^{\prime}\right)+\varphi\left(y^{\prime}\right), \quad \lambda \varphi(x)=\lambda \varphi\left(x^{\prime}\right)$"
7,7.13,Theorem,5,real_and_complex/7.13 Theorem_7_5.jpg,$\{\bar{D} \mu>\lambda\} \subset K \cup\left\{M \mu_{2}>\lambda\right\}$
17,17.10,Theorem,2,real_and_complex/17.10 Theorem_17_2.jpg,$f=g h$
9,9.21,Theorem,10,real_and_complex/9.21 Theorem_9_10.jpg,$\beta(x)=e^{A x}$.
10,10.30,Theorem,2,real_and_complex/10.30 Theorem_10_2.jpg,$\varphi^{\prime}(z) \neq 0 \quad(z \in V)$.
18,18.13,Theorem,1,real_and_complex/18.13 Theorem_18_1.jpg,$\varphi(x)=x+J=\{x+y: y \in J\}$.
5,5.17,Proposition,2,real_and_complex/5.17 Proposition_5_2.jpg,$z=\operatorname{Re} z-i \operatorname{Re}(i z)$
15,15.26,Theorem,8,real_and_complex/15.26 Theorem_15_8.jpg,$f(z)=\int_{0}^{1} t^{z}\left\{\frac{1}{2 \pi} \int_{-\infty}^{\infty} f(-1+i s) e^{-i s \log t} d s\right\} d t$.
7,7.24,Theorem,9,real_and_complex/7.24 Theorem_7_9.jpg,"$m(T(B(0, r)))<\epsilon r^{k} \quad(0<r<\delta)$."
2,2.13,Theorem,1,real_and_complex/2.13 Theorem_2_1.jpg,$h_{1}(x)+\cdots+h_{n}(x)=1 \quad(x \in K)$.
3,3.7,Definition,1,real_and_complex/3.7 Definition_3_1.jpg,"$\mu\left(g^{-1}((\alpha, \infty])\right)=0$"
1,1.27,Theorem,4,real_and_complex/1.27 Theorem_1_4.jpg,$\int_{X} g_{N} d \mu=\sum_{n=1}^{N} \int_{X} f_{n} d \mu$.
4,4.12,Theorem,4,real_and_complex/4.12 Theorem_4_4.jpg,"$L x=(L x)(z, z)=(L z)(x, z)$"
5,5.8,The,1,real_and_complex/5.8 The Banach-Steinhaus Theorem_5_1.jpg,$\left\|\Lambda_{\alpha}\right\| \leq M$
7,7.21,Theorem,5,real_and_complex/7.21 Theorem_7_5.jpg,$f(b)-f(a) \leq \int_{a}^{b} g(t) d t<\int_{a}^{b} f^{\prime}(t) d t+\epsilon$
7,7.2,Definition,6,real_and_complex/7.2 Definition_7_6.jpg,$(r+\delta)^{k}<r^{k} t / \lambda$
19,19.3,Theorem,2,real_and_complex/19.3 Theorem_19_2.jpg,$\int_{-\infty}^{\infty}|f(x)|^{2} d x<\infty$.
18,18.18,Theorem,2,real_and_complex/18.18 Theorem_18_2.jpg,$\sum_{i=1}^{n} f_{i}(z) g_{i}(z)=1 \quad(z \in \bar{U})$
8,8.6,Theorem,7,real_and_complex/8.6 Theorem_8_7.jpg,"$Q_{m n}=Q \cap\left(X_{n} \times Y_{m}\right) \quad(m, n=1,2,3, \ldots)$"
17,17.21,Beurling’s,1,real_and_complex/17.21 Beurling’s Theorem_17_1.jpg,$\varphi H^{2}=\left\{\varphi f: f \in H^{2}\right\}$
13,13.6,Theorem,7,real_and_complex/13.6 Theorem_13_7.jpg,$h(z)=0 \quad\left(z \in S^{2}-K\right)$
1,1.13,Definition,5,real_and_complex/1.13 Definition_1_5.jpg,$\limsup _{n \rightarrow \infty} a_{n}=\lim _{n \rightarrow \infty} \inf a_{n}=\lim _{n \rightarrow \infty} a_{n}$.
15,15.10,Theorem,1,real_and_complex/15.10 Theorem_15_1.jpg,$f(z)=e^{g(z)} \prod_{n=1}^{\infty} E_{p_{n}}\left(\frac{z}{z_{n}}\right)$.
12,12.10,Lindelof’s,3,real_and_complex/12.10 Lindelof’s Theorem_12_3.jpg,$h(z)=g(z) \overline{g(\bar{z})} g(2 r-z) \overline{g(2 r-\bar{z})}$.
3,3.9,Theorem,1,real_and_complex/3.9 Theorem_3_1.jpg,$\|f+g\|_{p} \leq\|f\|_{p}+\|g\|_{p}$.
19,19.1,Definitino,2,real_and_complex/19.1 Definitino_19_2.jpg,$f(x+i y)=\int_{0}^{\infty} F(t) e^{-t y} e^{i t x} d t$
11,11.14,Theorem,6,real_and_complex/11.14 Theorem_11_6.jpg,$F(z)=\left\{\begin{array}{ll}f_{t}(z) & \text { for } z \in D_{t}\end{array}\right.$
5,3.10,Theorem,4,real_and_complex/3.10 Theorem_5_4.jpg,$s^{*}(f ; x)=\sup _{n}\left|s_{n}(f ; x)\right|$
12,12.4,Theorem,1,real_and_complex/12.4 Theorem_12_1.jpg,"$\varphi_{\alpha}^{\prime}=1-|\alpha|^{2}, \quad \varphi_{\alpha}^{\prime}(\alpha)=\frac{1}{1-|\alpha|^{2}}$"
16,16.6,Theorem,1,real_and_complex/16.6 Theorem_16_1.jpg,"$p_{k+1}>\left(1+\frac{1}{\lambda}\right) p_{k} \quad(k=1,2,3, \ldots)$"
13,13.10,Theorem,2,real_and_complex/13.10 Theorem_13_2.jpg,$\left|R_{n}(z)-Q_{n}(z)\right|<2^{-n} \quad\left(z \in K_{n-1}\right)$.
20,20.5,Theorem,5,real_and_complex/20.5 Theorem_20_5.jpg,(s) $\quad(u !+\xi=\xi) \quad u p \mathfrak{q} p \frac{z-\xi}{(\xi)(\Phi \underline{\varrho})} \iint \frac{u}{\mathrm{I}}-=(z) \Phi$
11,11.14,Theorem,7,real_and_complex/11.14 Theorem_11_7.jpg,$f(\bar{z})=\sum_{n=0}^{\infty} c_{n}(\bar{z}-\bar{a})^{n}$.
5,3.10,Theorem,5,real_and_complex/3.10 Theorem_5_5.jpg,"$\Lambda_{n} f=s_{n}(f ; 0) \quad(f \in C(T) ; n=1,2,3, \ldots)$"
17,17.26,Theorem,8,real_and_complex/17.26 Theorem_17_8.jpg,$\left\{\int_{T}\left|(\psi h)_{r}\right|^{p} d \sigma\right\}^{1 / p} \leq A_{q}\left\{\int_{T}|h|^{p} d \sigma\right\}^{1 / p} \quad(0 \leq r<1)$.
12,12.10,Lindelof’s,2,real_and_complex/12.10 Lindelof’s Theorem_12_2.jpg,$|g(\Gamma(t))|<\epsilon \quad$ and $\quad \operatorname{Re} \Gamma(t)>r_{0}>\frac{1}{2}$
13,13.9,Theorem,1,real_and_complex/13.9 Theorem_13_1.jpg,$\left|R_{n}(z)-f(z)\right|<\frac{1}{n} \quad\left(z \in K_{n}\right)$.
1,1.13,Definition,4,real_and_complex/1.13 Definition_1_4.jpg,$\liminf _{n \rightarrow \infty} a_{n}=-\limsup _{n \rightarrow \infty}\left(-a_{n}\right)$
10,10.7,Theorem,2,real_and_complex/10.7 Theorem_10_2.jpg,$\int_{\gamma_{1}} f(z) d z=\int_{\gamma} f(z) d z$
13,13.6,Theorem,6,real_and_complex/13.6 Theorem_13_6.jpg,"$\frac{1}{\zeta-z}=-\lim _{N \rightarrow \infty} \sum_{n=0}^{N} z^{-n-1} \zeta^{n} \quad(\zeta \in K,|z|>r)$"
8,8.6,Theorem,6,real_and_complex/8.6 Theorem_8_6.jpg,"$\varphi_{i}(x) \rightarrow \varphi(x), \quad \psi_{i}(y) \rightarrow \psi(y) \quad(i \rightarrow \infty)$"
19,19.3,Theorem,3,real_and_complex/19.3 Theorem_19_3.jpg,$f(z)=\int_{-A}^{A} F(t) e^{i t z} d t$
7,7.21,Theorem,4,real_and_complex/7.21 Theorem_7_4.jpg,$g(t)>f^{\prime}(x)$ and $\frac{f(t)-f(x)}{t-x}<f^{\prime}(x)+\eta$
7,7.24,Theorem,15,real_and_complex/7.24 Theorem_7_15.jpg,$\int_{\alpha}^{\beta} f(t) d t=\int_{a}^{b} f(\varphi(x)) \varphi^{\prime}(x) d x$
7,7.24,Theorem,8,real_and_complex/7.24 Theorem_7_8.jpg,$|T(x)-A x| \leq \eta|x|$.
16,16.11,Theorem,2,real_and_complex/16.11 Theorem_16_2.jpg,$\gamma\left(s_{i}\right) \in A_{i-1} \cap A_{i} \cap B_{j}$.
16,16.16,Remark,1,real_and_complex/16.16 Remark_16_1.jpg,"$\Gamma_{z}=\gamma \dot{+}[\beta, z] \quad\left(z \in D_{\beta}\right)$"
16,16.4,Remark,1,real_and_complex/16.4 Remark_16_1.jpg,$f(z)=\sum_{n=0}^{\infty} z^{2^{n}}=z+z^{2}+z^{4}+z^{8}+\cdots \quad(z \in U)$
5,5.17,Proposition,3,real_and_complex/5.17 Proposition_5_3.jpg,$\operatorname{Re}(i f(x))=\operatorname{Re} f(i x)=u(i x)$
19,19.11,Theorem,9,real_and_complex/19.11 Theorem_19_9.jpg,$\log q(x) \geq \log \frac{x^{n}}{M_{n}} \geq \log e^{n}=n$
7,7.13,Theorem,6,real_and_complex/7.13 Theorem_7_6.jpg,$m\{\bar{D} \mu>\lambda\} \leq 3^{k} \lambda^{-1}\left\|\mu_{2}\right\|<3^{k} \lambda^{-1} \epsilon$.
17,17.10,Theorem,1,real_and_complex/17.10 Theorem_17_1.jpg,$f=B \cdot h^{2 / p}$.
10,10.30,Theorem,1,real_and_complex/10.30 Theorem_10_1.jpg,$\left|\varphi\left(z_{1}\right)-\varphi\left(z_{2}\right)\right| \geq \frac{1}{2}\left|\varphi^{\prime}\left(z_{0}\right)\right|\left|z_{1}-z_{2}\right|$
19,19.7,Theorem,3,real_and_complex/19.7 Theorem_19_3.jpg,"$\left\|D^{n}(f g)\right\|_{\infty} \leq \beta_{f} \beta_{g}\left(B_{f}+B_{g}\right)^{n} M_{n} \quad(n=0,1,2, \ldots)$"
18,18.13,Theorem,4,real_and_complex/18.13 Theorem_18_4.jpg,$x^{\prime} y^{\prime}-x y=\left(x^{\prime}-x\right) y^{\prime}+x\left(y^{\prime}-y\right)$
7,7.13,Theorem,2,real_and_complex/7.13 Theorem_7_2.jpg,"$(D \mu)(x)=0 \quad$ a.e. $[m]$,"
18,18.9,Theorem,8,real_and_complex/18.9 Theorem_18_8.jpg,"$\left\|x^{n}\right\|^{1 / n} \leq|\lambda|[C(\lambda)]^{1 / n} \quad(n=1,2,3, \ldots)$"
1,1.34,Lebesgue’s,2,real_and_complex/1.34 Lebesgue’s Dominated Convergence Theorem_1_2.jpg,"$\left|f_{n}(x)\right| \leq g(x) \quad(n=1,2,3, \ldots ; x \in X)$"
18,18.5,Theorem,5,real_and_complex/18.5 Theorem_18_5.jpg,"$\lambda f(\lambda)=\Phi\left[\lambda(x-\lambda e)^{-1}\right]=\Phi\left[\left(\frac{x}{\lambda}-e\right)^{-1}\right] \rightarrow \Phi(-e)$,"
19,19.2,Theorem,18,real_and_complex/19.2 Theorem_19_18.jpg,$f_{y}(x)=\int_{-\infty}^{\infty} \hat{f}_{y}(t) e^{i t x} d t$
1,1.27,Theorem,1,real_and_complex/1.27 Theorem_1_1.jpg,$f(x)=\sum_{n=1}^{\infty} f_{n}(x) \quad(x \in X)$
2,2.13,Theorem,4,real_and_complex/2.13 Theorem_2_4.jpg,$\mu\left(\bigcup_{i=1}^{\infty} E_{i}\right) \leq \sum_{i=1}^{\infty} \mu\left(E_{i}\right)$.
8,8.8,applies,1,real_and_complex/8.8 applies to g. Lemma_8_1.jpg,$\int_{X} \lambda\left(Q_{x}\right) d \mu(x)=0$
12,12.8,Theorem,9,real_and_complex/12.8 Theorem_12_9.jpg,"$|g(a+i y)|=M(a), \quad|g(b+i y)|=M(b)$"
16,14.19,(and,5,real_and_complex/14.19 (and Remark_16_5.jpg,"$\lambda(z)=h\left(\varphi^{-1}(z)\right) \quad(z \in \varphi(Q), \varphi \in \Gamma)$"
7,7.2,Definition,3,real_and_complex/7.2 Definition_7_3.jpg,$(D \mu)(x)=\lim _{r \rightarrow 0}\left(Q_{r} \mu\right)(x)$
19,19.3,Theorem,7,real_and_complex/19.3 Theorem_19_7.jpg,$\Phi_{\alpha}(w)=\int_{\Gamma_{\alpha}} f(z) e^{-w z} d z=e^{i \alpha} \int_{0}^{\infty} f\left(s e^{i \alpha}\right) \exp \left(-w s e^{i \alpha}\right) d s$
4,4.12,Theorem,1,real_and_complex/4.12 Theorem_4_1.jpg,"$L x=(x, y) \quad(x \in H)$."
5,5.8,The,4,real_and_complex/5.8 The Banach-Steinhaus Theorem_5_4.jpg,"$V_{n}=\{x: \varphi(x)>n\} \quad(n=1,2,3, \ldots)$"
10,10.7,Theorem,6,real_and_complex/10.7 Theorem_10_6.jpg,"$\left|c_{n}\right| \leq \frac{|\mu|(X)}{r^{n+1}} \quad(n=0,1,2, \ldots)$"
15,15.10,Theorem,4,real_and_complex/15.10 Theorem_15_4.jpg,$g(z)=b_{1} z^{m+1}+b_{2} z^{m+2}+\cdots$
9,9.11,The,2,real_and_complex/9.11 The Inversion Theorem_9_2.jpg,$\left(f * h_{\lambda}\right)(x)=\int_{-\infty}^{\infty} H(\lambda t) \hat{f}(t) e^{i x t} d m(t)$.
8,8.6,Theorem,2,real_and_complex/8.6 Theorem_8_2.jpg,"$\int_{X} \varphi d \mu=\int_{Y} \psi d \lambda$,"
13,13.6,Theorem,2,real_and_complex/13.6 Theorem_13_2.jpg,$\int_{K} R d \mu=0$
15,15.21,Theorem,3,real_and_complex/15.21 Theorem_15_3.jpg,$\frac{1}{2 \pi} \int_{-\pi}^{\pi} \log \left|f\left(r e^{i \theta}\right)\right| d \theta$
17,17.21,Beurling’s,4,real_and_complex/17.21 Beurling’s Theorem_17_4.jpg,"$\frac{1}{2 \pi} \int_{-\pi}^{\pi}\left|\varphi^{*}\left(e^{i \theta}\right)\right|^{2} e^{-i n \theta} d \theta=0 \quad(n=1,2,3, \ldots)$"
12,12.10,Lindelof’s,6,real_and_complex/12.10 Lindelof’s Theorem_12_6.jpg,$h_{c}(z)=h(z)(1-z)^{c}(2 r-1-z)^{c}$
12,12.4,Theorem,4,real_and_complex/12.4 Theorem_12_4.jpg,$f(z)=\varphi_{-\beta}\left(\lambda \varphi_{\alpha}(z)\right) \quad(z \in U)$
1,1.23,Definition,2,real_and_complex/1.23 Definition_1_2.jpg,$\int_{E} s d \mu=\sum_{i=1}^{n} \alpha_{i} \mu\left(A_{i} \cap E\right)$.
9,9.13,Theorem,9,real_and_complex/9.13 Theorem_9_9.jpg,$\left(h_{\lambda} * \bar{w}\right)(\alpha)=\int_{-\infty}^{\infty} h_{\lambda}(\alpha-t) \bar{w}(t) d m(t)=0$
5,3.10,Theorem,1,real_and_complex/3.10 Theorem_5_1.jpg,$\|\Lambda x\| \geq \delta\|x\| \quad(x \in X)$
11,11.14,Theorem,3,real_and_complex/11.14 Theorem_11_3.jpg,$F(\bar{z})=\overline{F(z)} \quad\left(z \in \Omega^{+} \cup L \cup{\Omega^{-}}\right.$.
14,14.1,Definition,3,real_and_complex/14.1 Definition_14_3.jpg,$f(z)=\alpha z+\beta \bar{z}+|z| \eta(z)$
20,20.5,Theorem,1,real_and_complex/20.5 Theorem_20_1.jpg,$\lim _{\delta \rightarrow 0} \omega(\delta)=0$
14,14.1,Definition,2,real_and_complex/14.1 Definition_14_2.jpg,$\lim _{r \rightarrow 0} e^{-i \theta} A\left[f\left(z_{0}+r e^{i \theta}\right)-f\left(z_{0}\right)\right] \quad(r>0)$
20,20.5,Theorem,0,real_and_complex/20.5 Theorem_20_0.jpg,$(\bar{\partial} \Phi)(z)=\iint(\bar{\partial} A)(z-\zeta) f(\zeta) d \xi d \eta$
11,11.14,Theorem,2,real_and_complex/11.14 Theorem_11_2.jpg,$\lim _{n \rightarrow \infty} v\left(z_{n}\right)=0$
9,9.13,Theorem,8,real_and_complex/9.13 Theorem_9_8.jpg,$h_{\lambda}(\alpha-t)=\int_{-\infty}^{\infty} e^{i \alpha x} H(\lambda x) e^{-i x t} d m(x)$
1,1.23,Definition,3,real_and_complex/1.23 Definition_1_3.jpg,$\int_{E} f d \mu=\sup \int_{E} s d \mu$
3,3.4,Definition,1,real_and_complex/3.4 Definition_3_1.jpg,"$\frac{1}{p}+\frac{1}{q}=1$,"
13,13.6,Theorem,3,real_and_complex/13.6 Theorem_13_3.jpg,$\int_{K} f d \mu=0$
15,15.21,Theorem,2,real_and_complex/15.21 Theorem_15_2.jpg,"$B(z)=z^{k} \prod_{n=1}^{\infty} \frac{\alpha_{n}-z}{1-\bar{\alpha}_{n} z} \frac{\left|\alpha_{n}\right|}{\alpha_{n}} \quad(z \in U)$,"
8,8.6,Theorem,3,real_and_complex/8.6 Theorem_8_3.jpg,"$\lambda\left(Q_{x}\right)=\int_{Y} \chi_{Q}(x, y) d \lambda(y) \quad(x \in X)$"
9,9.11,The,3,real_and_complex/9.11 The Inversion Theorem_9_3.jpg,$\lim _{n \rightarrow \infty}\left(f * h_{\lambda_{n}}\right)(x)=f(x)$ a.e.
15,15.10,Theorem,5,real_and_complex/15.10 Theorem_15_5.jpg,"$\left|1-E_{n}\left(\frac{\alpha_{n}-\beta_{n}}{z-\beta_{n}}\right)\right| \leq\left(\frac{1}{2}\right)^{n+1} \quad(z \in K, n \geq N)$"
1,1.13,Definition,1,real_and_complex/1.13 Definition_1_1.jpg,"$b_{k}=\sup \left\{a_{k}, a_{k+1}, a_{k+2}, \ldots\right\} \quad(k=1,2,3, \ldots)$"
7,7.21,Theorem,1,real_and_complex/7.21 Theorem_7_1.jpg,$f(x)-f(a)=\int_{a}^{x} f^{\prime}(t) d t \quad(a \leq x \leq b)$.
5,5.8,The,5,real_and_complex/5.8 The Banach-Steinhaus Theorem_5_5.jpg,$\left\|\Lambda_{\alpha}\left(x_{0}+x\right)\right\| \leq N$
7,7.24,Theorem,10,real_and_complex/7.24 Theorem_7_10.jpg,$\int_{Y} \chi_{A} d m=m(T(E \cap X))=\int_{X}\left(\chi_{A} \circ T\right)\left|J_{T}\right| d m$.
7,7.1,Theorem,2,real_and_complex/7.1 Theorem_7_2.jpg,$\left|\frac{\mu(I)}{m(I)}-A\right|<\epsilon$
16,14.19,(and,4,real_and_complex/14.19 (and Remark_16_4.jpg,$h\left(-\frac{1}{2}+\frac{1}{2} e^{i \theta}\right)=h\left(\frac{1}{2}+\frac{1}{2} e^{i(\pi-\theta)}\right)=h\left(\sigma\left(-\frac{1}{2}+\frac{1}{2} e^{i \theta}\right)\right) \quad(0<\theta<\pi)$
19,19.3,Theorem,6,real_and_complex/19.3 Theorem_19_6.jpg,$\Pi_{\alpha}=\left\{w: \operatorname{Re}\left(w e^{i \alpha}\right)>A\right\}$
12,12.8,Theorem,8,real_and_complex/12.8 Theorem_12_8.jpg,$M^{w}=\exp (w \log M)$
2,2.13,Theorem,5,real_and_complex/2.13 Theorem_2_5.jpg,$\mu\left(V_{1} \cup V_{2}\right) \leq \mu\left(V_{1}\right)+\mu\left(V_{2}\right)$
19,19.2,Theorem,19,real_and_complex/19.2 Theorem_19_19.jpg,$f(z)=\int_{0}^{\infty} F(t) e^{-y t} e^{i t x} d t=\int_{0}^{\infty} F(t) e^{i t z} d t \quad\left(z \in \Pi^{+}\right)$.
16,16.2,Theorem,1,real_and_complex/16.2 Theorem_16_1.jpg,$f(z)=\sum_{n=0}^{\infty} a_{n} z^{n} \quad(z \in U)$
18,18.5,Theorem,4,real_and_complex/18.5 Theorem_18_4.jpg,$\frac{f(\mu)-f(\lambda)}{\mu-\lambda} \rightarrow \Phi\left[(x-\lambda e)^{-2}\right]$.
1,1.34,Lebesgue’s,3,real_and_complex/1.34 Lebesgue’s Dominated Convergence Theorem_1_3.jpg,$\lim _{n \rightarrow \infty} \int_{X}\left|f_{n}-f\right| d \mu=0$
18,18.9,Theorem,9,real_and_complex/18.9 Theorem_18_9.jpg,$\lim _{n \rightarrow \infty} \sup \left\|x^{n}\right\|^{1 / n} \leq \rho(x)$.
18,18.13,Theorem,5,real_and_complex/18.13 Theorem_18_5.jpg,"$\varphi(x) \varphi(y)=\varphi(x y) \quad(x$ and $y \in A)$.
"
7,7.13,Theorem,3,real_and_complex/7.13 Theorem_7_3.jpg,$(\bar{D} \mu)(x)=\lim _{n \rightarrow \infty}\left[\sup _{0<r<1 / n}\left(Q_{r} \mu\right)(x)\right] \quad\left(x \in R^{k}\right)$
10,10.30,Theorem,4,real_and_complex/10.30 Theorem_10_4.jpg,$\min _{\theta}\left|\lambda-\varphi\left(a+r e^{i \theta}\right)\right|>c$.
